URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0875.htm","“It’s okay with me,” Connie said."
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0247.htm","""Oh come on, think of something yourself. You usually do."""
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1846.htm","So, carefully! carefully with the plates!"
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0190.htm","“It’s okay with me,” Connie said."
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1287.htm","the ceiling somewhere well above Rafter's head and reduced him to a mere mortal. Turning the gun back to me, he nodded, and I complied,"
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0808.htm","stands in the kitchen of a Central Square apartment, combining Rice Krispies"
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1102.htm","""But wouldn't it be fascinating if there were people? And they traveled through space in some sort of ship?"""
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0037.htm",I opened the envelope and pulled out a bunch of folders crammed with photographs and handwritten pages.
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0319.htm","“They welcome all economic classes, sir.”"
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0357.htm",Yes.
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0370.htm",The older man walked to the nearest squad car and reached in for a paper bag while Billy Schultz talked.
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0829.htm","""You're pretty good at avoiding those s's,"" she said. ""I have to hand it to you, you're tougher than most."""
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1667.htm","""No. Not actual glints."""
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1434.htm",Two night-lights staved off total gloom in the reception lounge. Multiple arrangements of sofas and armchairs suggested a hotel lobby.
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0267.htm","Tomorrow morning, Julia decided, she’d make an extra cake at the restaurant to take to her."
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1003.htm",Playful
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1598.htm","""So do I. Remember the time he made us run slot-waggle-right for two solid hours in practice?"""
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1633.htm","""Quail eggs,"" whispered Jamie. ""She really disapproves."""
"/media/Dados/bases/SWDE/book/book-barnesandnoble/0033.htm",�Did anyone call 911?�
"/media/Dados/bases/SWDE/book/book-barnesandnoble/1646.htm","""Excuse me?"""
