ID,LABEL,RULE
0,High speed card with up to fast 15MB per second Read and Transfer speeds / Lifetime limited warranty from manufacturer,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)
WHERE a2.VALUE='High speed card with up to fast 15MB per second Read and Transfer speeds / Lifetime limited warranty from manufacturer' AND a2.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='2' 
AND a0.VALUE='TR' AND a0.POSITION='9' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='23' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.VALUE='DIV' AND c2.POSITION='1' 
AND c3.VALUE='A' AND c3.POSITION='1' 
AND c4.NODE_TYPE='3' AND c4.POSITION='1' 
 RETURN c4.VALUE AS VALUE, c4.URL AS URL, 'Template' in LABELS(c4) as template"
1,Yes,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Yes' AND a1.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/FORM/TABLE/TBODY/TR/TD/text()' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='2' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='1' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
2,"Request a copy of the manufacturer's warranty,","MATCH (a0:Template)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a0.VALUE='Request a copy of the manufacturer\'s warranty,' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/DIV/text()' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='3' 
AND c1.VALUE='LI' AND c1.POSITION='12' 
AND c2.VALUE='A' AND c2.POSITION='2' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
3,... more info,"MATCH (a3:Template)<--(a2)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)
WHERE a3.VALUE='... more info' AND a3.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/A/text()' AND a3.POSITION='1' 
AND a2.VALUE='A' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='2' 
AND a0.VALUE='TR' AND a0.POSITION='1' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='26' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.VALUE='DIV' AND c2.POSITION='1' 
AND c3.VALUE='DIV' AND c3.POSITION='1' 
AND c4.NODE_TYPE='3' AND c4.POSITION='1' 
 RETURN c4.VALUE AS VALUE, c4.URL AS URL, 'Template' in LABELS(c4) as template"
4,PictBridge = Compatible,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='PictBridge = Compatible' AND a1.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/FORM/DIV/DIV/DIV/text()' AND a1.POSITION='1' 
AND a0.VALUE='DIV' AND a0.POSITION='6' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='5' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
5,See similar Point and Shoot Digital Cameras where:,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='See similar Point and Shoot Digital Cameras where:' AND a1.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/FORM/DIV/DIV/DIV/text()' AND a1.POSITION='1' 
AND a0.VALUE='DIV' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='15' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
6,"Request a copy of the manufacturer's warranty,","MATCH (a0:Template)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a0.VALUE='Request a copy of the manufacturer\'s warranty,' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/DIV/text()' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='3' 
AND c1.VALUE='LI' AND c1.POSITION='22' 
AND c2.VALUE='A' AND c2.POSITION='2' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
7,"Request a copy of the manufacturer's warranty,","MATCH (a0:Template)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a0.VALUE='Request a copy of the manufacturer\'s warranty,' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/DIV/text()' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='2' 
AND c1.VALUE='LI' AND c1.POSITION='19' 
AND c2.VALUE='A' AND c2.POSITION='1' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
8,"Request a copy of the manufacturer's warranty,","MATCH (a0:Template)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a0.VALUE='Request a copy of the manufacturer\'s warranty,' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/DIV/text()' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='2' 
AND c1.VALUE='LI' AND c1.POSITION='21' 
AND c2.VALUE='A' AND c2.POSITION='1' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
9,Specialty Stores = Dual Voltage,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Specialty Stores = Dual Voltage' AND a1.PATH='/HTML/BODY/DIV/DIV/DIV/FORM/TABLE/TBODY/TR/TD/DIV/DIV/FORM/DIV/DIV/DIV/text()' AND a1.POSITION='1' 
AND a0.VALUE='DIV' AND a0.POSITION='12' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='14' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
