ID,LABEL,RULE
0,Be the first to write a,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)-->(c5)
WHERE a1.VALUE='Be the first to write a' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/DIV/DIV/text()' AND a1.POSITION='1' 
AND a0.VALUE='DIV' AND a0.POSITION='4' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='3' 
AND c1.VALUE='TABLE' AND c1.POSITION='1' 
AND c2.VALUE='TBODY' AND c2.POSITION='1' 
AND c3.VALUE='TR' AND c3.POSITION='20' 
AND c4.VALUE='TD' AND c4.POSITION='5' 
AND c5.NODE_TYPE='3' AND c5.POSITION='1' 
 RETURN c5.VALUE AS VALUE, c5.URL AS URL, 'Template' in LABELS(c5) as template"
1,Books,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Books' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/A/text()' AND a1.POSITION='1' 
AND a0.VALUE='A' AND a0.POSITION='2' 
AND b.VALUE='DIV' 
AND c0.VALUE='A' AND c0.POSITION='5' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
2,Audio Cassette,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Audio Cassette' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/P/text()' AND a1.POSITION='2' 
AND a0.VALUE='P' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='P' AND c0.POSITION='2' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
3,Buy Online:,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a1.VALUE='Buy Online:' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/STRONG/text()' AND a1.POSITION='1' 
AND a0.VALUE='STRONG' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='1' 
AND c1.VALUE='A' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
4,Home,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Home' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/A/text()' AND a1.POSITION='1' 
AND a0.VALUE='A' AND a0.POSITION='14' 
AND b.VALUE='DIV' 
AND c0.VALUE='A' AND c0.POSITION='13' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
5,Series title,"MATCH (a2)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a2.VALUE='Series title' AND a2.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/DIV/DIV/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/B/text()' AND a2.POSITION='1' 
AND a1.VALUE='B' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='4' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='2' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
6,Non-book description,"MATCH (a2)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Non-book description' AND a2.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/DIV/DIV/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/B/text()' AND a2.POSITION='1' 
AND a1.VALUE='B' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='1' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='4' 
AND c1.VALUE='B' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
7,DC20,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='DC20' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/DIV/DIV/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/text()' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='5' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='2' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
8,Home,"MATCH (a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Home' AND a1.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/A/text()' AND a1.POSITION='1' 
AND a0.VALUE='A' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='A' AND c0.POSITION='3' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
9,Collins,"MATCH (a2)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a2.VALUE='Collins' AND a2.PATH='/HTML/BODY/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/DIV/DIV/DIV/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='2' 
AND a0.VALUE='TR' AND a0.POSITION='4' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='9' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.VALUE='B' AND c2.POSITION='1' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
