ID,LABEL,RULE
0,1 year limited,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='1 year limited' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='2' 
AND a0.VALUE='TR' AND a0.POSITION='57' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='52' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
1,Brand,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Brand' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='2' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='42' 
AND c1.VALUE='TD' AND c1.POSITION='2' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
2,DOLICA KT-10 Lens Pen Cleaning Kit,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a2.VALUE='DOLICA KT-10 Lens Pen Cleaning Kit' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/DL/DD/A/text()' AND a2.POSITION='1' 
AND a1.VALUE='A' AND a1.POSITION='1' 
AND a0.VALUE='DD' AND a0.POSITION='4' 
AND b.VALUE='DL' 
AND c0.VALUE='DD' AND c0.POSITION='7' 
AND c1.VALUE='A' AND c1.POSITION='1' 
AND c2.VALUE='SPAN' AND c2.POSITION='1' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
3,Type,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Type' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='7' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='24' 
AND c1.VALUE='TD' AND c1.POSITION='2' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
4,Focus,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Focus' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='23' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='42' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
5,Image Stabilization,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Image Stabilization' AND a1.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='1' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='2' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
6,Exposure Compensation,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Exposure Compensation' AND a1.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='1' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='2' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
7,"* Additional fees may apply to shipments to AK, HI and PR.","MATCH (a4:Template)<--(a3)<--(a2)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)-->(c5)
WHERE a4.VALUE='* Additional fees may apply to shipments to AK, HI and PR.' AND a4.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/P/text()' AND a4.POSITION='1' 
AND a3.VALUE='P' AND a3.POSITION='1' 
AND a2.VALUE='DIV' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='2' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='1' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.VALUE='DIV' AND c2.POSITION='1' 
AND c3.VALUE='H2' AND c3.POSITION='1' 
AND c4.VALUE='SPAN' AND c4.POSITION='2' 
AND c5.NODE_TYPE='3' AND c5.POSITION='1' 
 RETURN c5.VALUE AS VALUE, c5.URL AS URL, 'Template' in LABELS(c5) as template"
8,4X,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='4X' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='2' 
AND a0.VALUE='TR' AND a0.POSITION='17' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='46' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
9,Color,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Color' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='2' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='10' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
10,DOLICA KT-10 Lens Pen Cleaning Kit,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='DOLICA KT-10 Lens Pen Cleaning Kit' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/DL/DD/A/text()' AND a2.POSITION='1' 
AND a1.VALUE='A' AND a1.POSITION='1' 
AND a0.VALUE='DD' AND a0.POSITION='3' 
AND b.VALUE='DL' 
AND c0.VALUE='DD' AND c0.POSITION='6' 
AND c1.VALUE='A' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
11,Normal Focus Range,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Normal Focus Range' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='25' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='53' 
AND c1.VALUE='TD' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
12,Yes,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Yes' AND a1.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='2' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='1' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
13,Color,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a2.VALUE='Color' AND a2.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a2.POSITION='1' 
AND a1.VALUE='TD' AND a1.POSITION='1' 
AND a0.VALUE='TR' AND a0.POSITION='4' 
AND b.VALUE='TBODY' 
AND c0.VALUE='TR' AND c0.POSITION='10' 
AND c1.VALUE='TD' AND c1.POSITION='2' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
14,Resolution,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Resolution' AND a1.PATH='/HTML/BODY/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/TABLE/TBODY/TR/TD/DIV/DIV/DIV/DIV/TABLE/TBODY/TR/TD/text()' AND a1.POSITION='1' 
AND a0.VALUE='TD' AND a0.POSITION='1' 
AND b.VALUE='TR' 
AND c0.VALUE='TD' AND c0.POSITION='2' 
AND c1.NODE_TYPE='3' AND c1.POSITION='2' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
