ID,LABEL,RULE
0,Casual,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Casual' AND a1.PATH='/HTML/BODY/DIV/DIV/SPAN/DIV/DIV/UL/LI/text()' AND a1.POSITION='1' 
AND a0.VALUE='LI' AND a0.POSITION='2' 
AND b.VALUE='UL' 
AND c0.VALUE='LI' AND c0.POSITION='1' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
1,Casual,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a1.VALUE='Casual' AND a1.PATH='/HTML/BODY/DIV/DIV/SPAN/DIV/DIV/UL/LI/text()' AND a1.POSITION='1' 
AND a0.VALUE='LI' AND a0.POSITION='10' 
AND b.VALUE='UL' 
AND c0.VALUE='LI' AND c0.POSITION='3' 
AND c1.VALUE='A' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
2,GET THE SCOOP,"MATCH (a3:Template)<--(a2)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)
WHERE a3.VALUE='GET THE SCOOP' AND a3.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/H5/A/text()' AND a3.POSITION='1' 
AND a2.VALUE='A' AND a2.POSITION='1' 
AND a1.VALUE='H5' AND a1.POSITION='1' 
AND a0.VALUE='DIV' AND a0.POSITION='5' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='7' 
AND c1.VALUE='DIV' AND c1.POSITION='1' 
AND c2.VALUE='A' AND c2.POSITION='2' 
AND c3.NODE_TYPE='3' AND c3.POSITION='1' 
 RETURN c3.VALUE AS VALUE, c3.URL AS URL, 'Template' in LABELS(c3) as template"
3,features the,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='features the' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/P/text()' AND a0.POSITION='2' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='3' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
4,Full bar,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a2.VALUE='Full bar' AND a2.PATH='/HTML/BODY/DIV/DIV/SPAN/DIV/DIV/UL/LI/A/text()' AND a2.POSITION='1' 
AND a1.VALUE='A' AND a1.POSITION='1' 
AND a0.VALUE='LI' AND a0.POSITION='6' 
AND b.VALUE='UL' 
AND c0.VALUE='LI' AND c0.POSITION='8' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
5,"Since 1969, restaurant, hotel, travel & other witty reviews by a handpicked, worldwide team of discerning professionals—and your views, too.","MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)-->(c5)-->(c6)-->(c7)-->(c8)-->(c9)-->(c10)-->(c11)-->(c12)-->(c13)-->(c14)-->(c15)
WHERE a2.VALUE='Since 1969, restaurant, hotel, travel & other witty reviews by a handpicked, worldwide team of discerning professionals—and your views, too.' AND a2.PATH='/HTML/BODY/DIV/DIV/DIV/text()' AND a2.POSITION='1' 
AND a1.VALUE='DIV' AND a1.POSITION='3' 
AND a0.VALUE='DIV' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='5' 
AND c1.VALUE='DIV' AND c1.POSITION='1' 
AND c2.VALUE='DIV' AND c2.POSITION='1' 
AND c3.VALUE='SPAN' AND c3.POSITION='1' 
AND c4.VALUE='TABLE' AND c4.POSITION='1' 
AND c5.VALUE='TBODY' AND c5.POSITION='1' 
AND c6.VALUE='TR' AND c6.POSITION='1' 
AND c7.VALUE='TD' AND c7.POSITION='1' 
AND c8.VALUE='TABLE' AND c8.POSITION='2' 
AND c9.VALUE='TBODY' AND c9.POSITION='1' 
AND c10.VALUE='TR' AND c10.POSITION='1' 
AND c11.VALUE='TD' AND c11.POSITION='3' 
AND c12.VALUE='P' AND c12.POSITION='1' 
AND c13.VALUE='FONT' AND c13.POSITION='4' 
AND c14.VALUE='A' AND c14.POSITION='1' 
AND c15.NODE_TYPE='3' AND c15.POSITION='1' 
 RETURN c15.VALUE AS VALUE, c15.URL AS URL, 'Template' in LABELS(c15) as template"
6,Open,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)
WHERE a1.VALUE='Open' AND a1.PATH='/HTML/BODY/DIV/DIV/SPAN/DIV/DIV/H4/text()' AND a1.POSITION='1' 
AND a0.VALUE='H4' AND a0.POSITION='2' 
AND b.VALUE='DIV' 
AND c0.VALUE='A' AND c0.POSITION='1' 
AND c1.NODE_TYPE='3' AND c1.POSITION='1' 
 RETURN c1.VALUE AS VALUE, c1.URL AS URL, 'Template' in LABELS(c1) as template"
7,"Since 1969, restaurant, hotel, travel & other witty reviews by a handpicked, worldwide team of discerning professionals—and your views, too.","MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)-->(c5)-->(c6)
WHERE a2.VALUE='Since 1969, restaurant, hotel, travel & other witty reviews by a handpicked, worldwide team of discerning professionals—and your views, too.' AND a2.PATH='/HTML/BODY/DIV/DIV/DIV/text()' AND a2.POSITION='1' 
AND a1.VALUE='DIV' AND a1.POSITION='3' 
AND a0.VALUE='DIV' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='5' 
AND c1.VALUE='DIV' AND c1.POSITION='1' 
AND c2.VALUE='SPAN' AND c2.POSITION='2' 
AND c3.VALUE='DIV' AND c3.POSITION='1' 
AND c4.VALUE='DIV' AND c4.POSITION='1' 
AND c5.VALUE='P' AND c5.POSITION='1' 
AND c6.NODE_TYPE='3' AND c6.POSITION='2' 
 RETURN c6.VALUE AS VALUE, c6.URL AS URL, 'Template' in LABELS(c6) as template"
8,What's Hot,"MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)-->(c5)-->(c6)-->(c7)-->(c8)-->(c9)-->(c10)-->(c11)
WHERE a2.VALUE='What\'s Hot' AND a2.PATH='/HTML/BODY/DIV/DIV/DIV/SPAN/UL/H4/text()' AND a2.POSITION='1' 
AND a1.VALUE='H4' AND a1.POSITION='1' 
AND a0.VALUE='UL' AND a0.POSITION='1' 
AND b.VALUE='SPAN' 
AND c0.VALUE='TABLE' AND c0.POSITION='1' 
AND c1.VALUE='TBODY' AND c1.POSITION='1' 
AND c2.VALUE='TR' AND c2.POSITION='1' 
AND c3.VALUE='TD' AND c3.POSITION='1' 
AND c4.VALUE='TABLE' AND c4.POSITION='2' 
AND c5.VALUE='TBODY' AND c5.POSITION='1' 
AND c6.VALUE='TR' AND c6.POSITION='1' 
AND c7.VALUE='TD' AND c7.POSITION='3' 
AND c8.VALUE='P' AND c8.POSITION='1' 
AND c9.VALUE='FONT' AND c9.POSITION='9' 
AND c10.VALUE='A' AND c10.POSITION='1' 
AND c11.NODE_TYPE='3' AND c11.POSITION='1' 
 RETURN c11.VALUE AS VALUE, c11.URL AS URL, 'Template' in LABELS(c11) as template"
9,"Since 1969, restaurant, hotel, travel & other witty reviews by a handpicked, worldwide team of discerning professionals—and your views, too.","MATCH (a2:Template)<--(a1)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)-->(c3)-->(c4)-->(c5)-->(c6)-->(c7)-->(c8)-->(c9)-->(c10)-->(c11)-->(c12)-->(c13)-->(c14)-->(c15)
WHERE a2.VALUE='Since 1969, restaurant, hotel, travel & other witty reviews by a handpicked, worldwide team of discerning professionals—and your views, too.' AND a2.PATH='/HTML/BODY/DIV/DIV/DIV/text()' AND a2.POSITION='1' 
AND a1.VALUE='DIV' AND a1.POSITION='3' 
AND a0.VALUE='DIV' AND a0.POSITION='1' 
AND b.VALUE='DIV' 
AND c0.VALUE='DIV' AND c0.POSITION='5' 
AND c1.VALUE='DIV' AND c1.POSITION='1' 
AND c2.VALUE='DIV' AND c2.POSITION='1' 
AND c3.VALUE='SPAN' AND c3.POSITION='1' 
AND c4.VALUE='TABLE' AND c4.POSITION='1' 
AND c5.VALUE='TBODY' AND c5.POSITION='1' 
AND c6.VALUE='TR' AND c6.POSITION='1' 
AND c7.VALUE='TD' AND c7.POSITION='1' 
AND c8.VALUE='TABLE' AND c8.POSITION='2' 
AND c9.VALUE='TBODY' AND c9.POSITION='1' 
AND c10.VALUE='TR' AND c10.POSITION='1' 
AND c11.VALUE='TD' AND c11.POSITION='2' 
AND c12.VALUE='P' AND c12.POSITION='1' 
AND c13.VALUE='FONT' AND c13.POSITION='13' 
AND c14.VALUE='STRONG' AND c14.POSITION='1' 
AND c15.NODE_TYPE='3' AND c15.POSITION='1' 
 RETURN c15.VALUE AS VALUE, c15.URL AS URL, 'Template' in LABELS(c15) as template"
